epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.98316,2.7796,4.98639,2.70738,0.07645,0.14286,0.02528,0.00534,2.99209,7.69036,3.63631,0.00014,0.00014,0.00014
2,8.41908,2.3426,3.11347,2.36896,0.09985,0.21429,0.05945,0.01404,2.86629,4.21788,3.62409,0.00029406,0.00029406,0.00029406
3,11.7589,2.10283,2.65667,2.139,0.12001,0.28571,0.06676,0.01571,2.95756,3.0276,3.07153,0.000441784,0.000441784,0.000441784
4,14.4257,2.00139,2.6686,2.06499,0.15116,0.35714,0.10308,0.02518,2.98095,3.10274,3.18682,0.000583172,0.000583172,0.000583172
5,17.0635,1.89516,2.39644,1.95501,0.07729,0.14286,0.04913,0.0116,3.41434,4.94893,4.06588,0.000718224,0.000718224,0.000718224
6,19.6912,1.9939,2.33891,2.01023,0.09072,0.07143,0.02697,0.00407,3.6766,5.92935,5.00673,0.00084694,0.00084694,0.00084694
7,22.8,1.90369,2.13814,1.94174,0.04095,0.35714,0.06326,0.01588,3.09702,55.9134,4.15857,0.00096932,0.00096932,0.00096932
8,25.8317,1.85826,2.12664,1.86648,0.07317,0.5,0.08051,0.02252,2.92944,31.2386,3.61886,0.00108536,0.00108536,0.00108536
9,28.3699,1.83399,2.05039,1.8614,0.01964,0.14286,0.00943,0.0019,3.55651,17.6572,3.65325,0.00119507,0.00119507,0.00119507
10,30.8586,1.79736,2.08696,1.78958,0.0013,0.07143,0.00053,0.00012,4.07864,14.2876,3.6773,0.00129844,0.00129844,0.00129844
11,33.4407,1.67169,1.7822,1.77402,0.07927,0.21429,0.03105,0.00376,4.0147,20.6878,4.69186,0.00139548,0.00139548,0.00139548
12,36.4041,1.61145,1.82187,1.72118,0.00329,0.07143,0.00116,0.00038,4.23809,18.2148,4.43384,0.00148618,0.00148618,0.00148618
13,39.4693,1.7377,1.85591,1.80007,0.00238,0.14286,0.00122,0.00018,4.70993,18.4358,5.04596,0.0015248,0.0015248,0.0015248
14,42.0312,1.67615,1.79537,1.77247,0.03642,0.07143,0.01238,0.00299,3.67994,5.57678,3.9465,0.0014852,0.0014852,0.0014852
15,44.5711,1.69139,1.7234,1.71915,0.0294,0.14286,0.02161,0.00492,3.5842,8.81159,3.95196,0.0014456,0.0014456,0.0014456
16,47.1001,1.52126,1.55711,1.5903,0.04341,0.28571,0.01772,0.00256,3.84558,5.13411,4.52983,0.001406,0.001406,0.001406
17,49.9418,1.49522,1.47856,1.5975,0.13216,0.14286,0.05883,0.01506,3.58949,4.80446,4.52493,0.0013664,0.0013664,0.0013664
18,53.091,1.46673,1.45476,1.58337,0.19494,0.28571,0.16766,0.03662,3.10049,5.87151,3.92288,0.0013268,0.0013268,0.0013268
19,55.8081,1.45624,1.48807,1.58811,0.17915,0.35714,0.10969,0.02818,2.7245,3.62295,3.24101,0.0012872,0.0012872,0.0012872
20,58.3394,1.42631,1.30857,1.52876,0.12727,0.35714,0.16254,0.05761,2.8229,4.08341,3.14619,0.0012476,0.0012476,0.0012476
21,61,1.38462,1.30917,1.50601,0.17471,0.14286,0.10446,0.02676,3.02674,4.43266,3.34735,0.001208,0.001208,0.001208
22,64.4727,1.40711,1.34749,1.5079,0.12499,0.28571,0.07937,0.02014,3.00545,3.9513,3.40393,0.0011684,0.0011684,0.0011684
23,67.3602,1.34689,1.26377,1.47104,0.17398,0.21429,0.06213,0.01731,3.06267,3.82695,3.29542,0.0011288,0.0011288,0.0011288
24,69.9593,1.26777,1.15939,1.41894,0.10806,0.28571,0.05385,0.01147,3.04166,3.29421,3.45091,0.0010892,0.0010892,0.0010892
25,72.5858,1.25914,1.14473,1.43934,0.235,0.19857,0.08735,0.02273,2.92043,3.35355,3.57489,0.0010496,0.0010496,0.0010496
26,75.1958,1.29248,1.16826,1.45207,0.16506,0.28571,0.09256,0.02284,3.13235,3.4376,3.8974,0.00101,0.00101,0.00101
27,78.5521,1.32708,1.17452,1.44688,0.18641,0.21429,0.07637,0.01863,3.36014,3.46529,4.04001,0.0009704,0.0009704,0.0009704
28,81.3452,1.19812,1.06077,1.37499,0.11563,0.07143,0.02444,0.00657,3.15814,3.77952,3.41309,0.0009308,0.0009308,0.0009308
29,83.9506,1.22887,1.09023,1.37854,0.00502,0.35714,0.01026,0.00387,2.96853,4.08529,3.03358,0.0008912,0.0008912,0.0008912
30,86.5898,1.13552,0.98268,1.31874,0.0037,0.21429,0.00502,0.00145,3.25086,4.09825,3.36167,0.0008516,0.0008516,0.0008516
31,89.1337,1.19341,1.03729,1.34589,0.04374,0.07143,0.0283,0.00506,3.33516,3.7484,3.3969,0.000812,0.000812,0.000812
32,92.6117,1.11067,0.96993,1.29635,0.08715,0.14286,0.06402,0.01384,2.89309,3.39832,3.18523,0.0007724,0.0007724,0.0007724
33,95.1871,1.10617,0.96624,1.32423,0.08151,0.14286,0.04542,0.00999,2.77509,3.75624,3.00252,0.0007328,0.0007328,0.0007328
34,97.7064,1.127,0.98049,1.29703,0.01199,0.35714,0.01929,0.00638,2.81601,3.81197,2.93432,0.0006932,0.0006932,0.0006932
35,100.262,1.09125,0.96125,1.34581,0.03957,0.28571,0.04259,0.01198,2.99026,3.69136,3.12516,0.0006536,0.0006536,0.0006536
36,102.959,0.97473,0.82458,1.19919,0.15696,0.14286,0.07014,0.01872,3.20736,3.21875,3.44177,0.000614,0.000614,0.000614
